city,district,feeder,outage_count,high_impact_count,avg_duration_min,max_duration_min,total_affected_customer,total_ens_kwh,force_majeure_count,risk_score
Kayseri,Melikgazi,KAY-MEL-FDR-051,7,7,310.29,551,19189,138295.86,0,129.08
Kayseri,Kocasinan,KAY-KOC-FDR-003,6,5,347.67,659,25153,115941.8,0,127.71
Konya,Meram,KON-MER-FDR-004,7,5,213.57,672,27905,110166.65,0,126.55
Eskişehir,Odunpazarı,ESK-ODU-FDR-042,11,8,188.36,495,22703,120467.73,0,126.04
Sivas,Gemerek,SIV-GEM-FDR-032,6,3,213.67,640,13946,171284.43,0,125.94
Kayseri,İncesu,KAY-INC-FDR-027,9,4,258.89,725,16748,151871.21,0,125.45
Sivas,Divriği,SIV-DIV-FDR-005,4,4,406.25,736,13354,158180.19,0,124.99
Konya,Ereğli,KON-ERE-FDR-028,10,6,159.0,405,28678,102341.05,0,124.8
Sivas,Gürün,SIV-GÜR-FDR-060,4,4,273.0,557,18518,144359.13,0,124.41
Sivas,Yıldızeli,SIV-YIL-FDR-004,9,7,213.11,464,25051,109538.25,0,124.01
Eskişehir,Mihalıççık,ESK-MIH-FDR-024,7,5,209.29,602,15096,156018.14,0,123.73
Konya,Meram,KON-MER-FDR-033,7,5,176.0,418,19191,141519.61,0,123.67
Ankara,Keçiören,ANK-KEÇ-FDR-009,13,12,222.38,581,25285,89117.08,0,123.05
Sivas,Şarkışla,SIV-SAR-FDR-040,9,4,121.0,590,20770,138545.49,0,122.69
Ankara,Etimesgut,ANK-ETI-FDR-028,6,6,287.0,943,18780,131331.06,0,122.34
Ankara,Yenimahalle,ANK-YEN-FDR-011,5,4,259.0,866,20655,129752.2,0,121.21
Kayseri,Kocasinan,KAY-KOC-FDR-056,5,4,203.0,450,22225,125644.35,0,120.61
Kayseri,Yeşilhisar,KAY-YES-FDR-031,10,8,252.8,571,20465,113655.09,0,119.84
Konya,Selçuklu,KON-SEL-FDR-054,13,10,169.38,469,26823,85678.66,0,119.82
Ankara,Gölbaşı,ANK-GÖL-FDR-060,9,6,150.56,290,31948,80268.42,0,119.8
Konya,Kulu,KON-KUL-FDR-004,7,6,244.29,436,18530,129246.15,0,119.76
Eskişehir,Mahmudiye,ESK-MAH-FDR-044,6,5,162.83,380,30199,90182.31,0,119.37
Eskişehir,Seyitgazi,ESK-SEY-FDR-034,4,3,359.5,486,14895,146428.37,0,119.29
Konya,Ilgın,KON-ILG-FDR-022,6,6,318.0,508,27563,88236.61,0,119.28
Sivas,Zara,SIV-ZAR-FDR-009,8,4,177.38,600,23577,116994.94,0,118.97
Ankara,Polatlı,ANK-POL-FDR-039,5,5,257.8,329,20594,122127.11,0,118.74
Kayseri,Yahyalı,KAY-YAH-FDR-052,5,5,319.6,683,20538,118592.59,0,118.71
Konya,Cihanbeyli,KON-CIH-FDR-004,5,4,279.8,596,19299,128016.64,0,118.25
Sivas,Kangal,SIV-KAN-FDR-007,7,4,161.71,390,22134,122651.37,0,118.19
Kayseri,Yeşilhisar,KAY-YES-FDR-010,7,7,294.57,665,14305,136459.22,0,117.93
Kayseri,Bünyan,KAY-BÜN-FDR-036,6,5,185.33,397,24601,106825.99,0,117.17
Kayseri,Bünyan,KAY-BÜN-FDR-052,11,7,221.0,572,15289,132638.99,0,116.78
Ankara,Pursaklar,ANK-PUR-FDR-026,12,7,157.67,417,19829,116048.88,0,115.91
Ankara,Etimesgut,ANK-ETI-FDR-015,6,5,202.67,373,26842,93619.62,0,115.57
Konya,Karatay,KON-KAR-FDR-041,4,3,303.25,454,16319,136571.77,0,115.52
Ankara,Pursaklar,ANK-PUR-FDR-036,7,7,179.29,287,29476,77821.78,0,115.49
Kayseri,Develi,KAY-DEV-FDR-030,6,4,180.33,411,20294,123825.39,0,115.41
Kayseri,Pınarbaşı,KAY-PIN-FDR-006,9,6,143.67,451,28519,85592.05,0,115.39
Kayseri,İncesu,KAY-INC-FDR-026,6,6,276.67,632,26152,87339.94,0,114.77
Sivas,Gemerek,SIV-GEM-FDR-056,5,4,369.6,601,14606,134337.37,0,114.72
Konya,Seydişehir,KON-SEY-FDR-044,7,5,154.86,656,21501,115259.84,0,114.53
Ankara,Altındağ,ANK-ALT-FDR-015,5,5,262.0,451,17452,124923.51,0,113.98
Kayseri,Tomarza,KAY-TOM-FDR-048,7,5,259.57,579,17650,121095.91,1,112.89
Kayseri,Talas,KAY-TAL-FDR-007,9,7,211.56,633,18251,114438.67,0,112.82
Kayseri,Develi,KAY-DEV-FDR-037,7,7,315.71,604,20825,98854.02,0,112.8
Eskişehir,Sivrihisar,ESK-SIV-FDR-044,4,4,271.75,510,16209,129836.7,0,112.49
Eskişehir,Seyitgazi,ESK-SEY-FDR-032,6,6,299.67,502,13098,132142.05,0,111.76
Ankara,Etimesgut,ANK-ETI-FDR-018,5,3,372.8,734,12662,137839.06,0,111.18
Kayseri,Yeşilhisar,KAY-YES-FDR-021,10,8,109.5,358,32377,53292.99,0,109.19
Eskişehir,İnönü,ESK-INÖ-FDR-020,9,7,153.44,430,24854,83497.08,0,108.81
Sivas,Hafik,SIV-HAF-FDR-005,9,8,220.78,413,20552,93622.92,0,108.79
Kayseri,Yeşilhisar,KAY-YES-FDR-056,7,5,256.86,430,17791,112273.06,0,108.67
Sivas,Gürün,SIV-GÜR-FDR-025,3,3,313.0,384,29031,71515.02,0,108.46
Eskişehir,Beylikova,ESK-BEY-FDR-039,8,7,232.38,456,19358,100406.18,0,108.39
Eskişehir,Odunpazarı,ESK-ODU-FDR-048,5,5,227.8,706,26207,80190.92,0,108.09
Ankara,Yenimahalle,ANK-YEN-FDR-015,9,9,121.33,293,29968,57465.65,0,108.06
Ankara,Yenimahalle,ANK-YEN-FDR-013,9,5,221.78,494,20793,99626.84,0,107.8
Sivas,Divriği,SIV-DIV-FDR-010,8,7,165.62,359,24846,81216.75,0,107.77
Sivas,Merkez,SIV-MER-FDR-051,9,8,219.67,459,15279,112272.32,0,107.53
Eskişehir,Odunpazarı,ESK-ODU-FDR-058,8,7,212.88,346,22622,86710.34,0,107.49
Sivas,Gürün,SIV-GÜR-FDR-030,12,8,208.08,468,26535,65430.3,0,107.03
Ankara,Çankaya,ANK-ÇAN-FDR-022,10,9,284.3,564,15231,103263.89,0,106.62
Eskişehir,Tepebaşı,ESK-TEP-FDR-041,11,10,216.36,652,21391,78642.17,0,106.34
Konya,Ereğli,KON-ERE-FDR-059,7,6,220.29,392,29109,61378.73,0,106.27
Ankara,Polatlı,ANK-POL-FDR-033,7,5,218.29,608,23474,86897.49,0,106.2
Kayseri,İncesu,KAY-INC-FDR-005,4,3,158.75,339,17174,122457.72,0,105.84
Sivas,Divriği,SIV-DIV-FDR-053,4,3,478.5,1440,6537,145526.27,0,105.69
Ankara,Mamak,ANK-MAM-FDR-042,6,5,235.33,636,20007,99196.29,0,105.67
Eskişehir,Çifteler,ESK-ÇIF-FDR-042,6,6,369.17,610,18031,95886.56,0,105.58
Sivas,Şarkışla,SIV-SAR-FDR-012,10,9,195.7,473,21871,79234.18,0,105.23
Ankara,Keçiören,ANK-KEÇ-FDR-001,10,8,293.4,637,13802,108400.03,0,105.11
Kayseri,Develi,KAY-DEV-FDR-041,8,7,197.75,746,21615,86761.78,0,105.04
Sivas,Gemerek,SIV-GEM-FDR-016,8,7,312.38,549,19236,89373.8,0,105.03
Ankara,Keçiören,ANK-KEÇ-FDR-036,7,6,198.14,498,30931,52450.21,0,104.78
Sivas,Yıldızeli,SIV-YIL-FDR-031,13,9,204.92,676,18487,86819.98,0,103.28
Ankara,Altındağ,ANK-ALT-FDR-036,7,6,119.57,338,30272,55929.44,0,102.85
Eskişehir,Seyitgazi,ESK-SEY-FDR-036,10,8,238.7,465,15678,99536.62,0,102.79
Sivas,Hafik,SIV-HAF-FDR-007,9,7,257.22,807,23564,70095.57,0,102.64
Sivas,Merkez,SIV-MER-FDR-039,6,5,292.0,487,15658,106703.2,0,102.43
Konya,Kulu,KON-KUL-FDR-049,7,7,274.57,573,20782,80284.04,0,102.19
Eskişehir,İnönü,ESK-INÖ-FDR-025,10,9,176.9,318,21741,74308.42,0,101.94
Kayseri,Kocasinan,KAY-KOC-FDR-026,5,4,173.0,293,23640,84152.88,0,101.8
Eskişehir,Mahmudiye,ESK-MAH-FDR-060,7,4,169.14,371,15642,114876.1,0,101.55
Eskişehir,Tepebaşı,ESK-TEP-FDR-006,3,3,534.67,714,8663,125766.96,0,101.5
Ankara,Altındağ,ANK-ALT-FDR-058,6,4,186.17,476,18774,100978.99,1,101.12
Eskişehir,İnönü,ESK-INÖ-FDR-003,6,5,188.5,269,21797,85347.93,0,100.92
Sivas,Divriği,SIV-DIV-FDR-016,4,3,187.5,375,17727,108430.2,0,100.79
Konya,Karatay,KON-KAR-FDR-058,6,6,216.83,405,21623,80806.16,0,100.65
Konya,Cihanbeyli,KON-CIH-FDR-024,7,6,177.57,379,22430,79196.83,0,100.54
Ankara,Çankaya,ANK-ÇAN-FDR-057,10,8,214.4,714,24784,59961.53,0,100.48
Konya,Kulu,KON-KUL-FDR-048,7,4,165.14,649,16813,108282.34,0,100.47
Sivas,Hafik,SIV-HAF-FDR-031,8,7,101.75,362,32511,39485.55,0,100.32
Konya,Ereğli,KON-ERE-FDR-046,6,5,160.67,334,16972,104881.31,0,100.2
Eskişehir,Beylikova,ESK-BEY-FDR-049,12,9,210.08,474,17500,84535.71,0,100.07
Konya,Selçuklu,KON-SEL-FDR-016,10,9,221.1,468,29015,37745.46,0,99.54
Konya,Akşehir,KON-AKS-FDR-045,10,7,187.5,529,18938,85451.35,0,99.23
Konya,Seydişehir,KON-SEY-FDR-029,8,5,267.38,688,17260,94231.63,0,99.16
Ankara,Gölbaşı,ANK-GÖL-FDR-010,6,5,269.33,429,17757,92998.28,0,99.09
Eskişehir,Alpu,ESK-ALP-FDR-004,5,4,205.2,371,26819,63511.41,0,98.8
Kayseri,Pınarbaşı,KAY-PIN-FDR-037,8,7,165.0,312,24093,66230.93,0,98.75
Kayseri,Yahyalı,KAY-YAH-FDR-018,9,7,182.89,435,25173,59685.49,0,98.43
Kayseri,Yeşilhisar,KAY-YES-FDR-038,4,4,219.0,409,24964,69838.2,0,98.42
Kayseri,İncesu,KAY-INC-FDR-041,6,5,159.33,372,29023,53162.16,0,98.41
Eskişehir,Beylikova,ESK-BEY-FDR-030,6,6,288.83,542,16433,92744.64,0,98.4
Konya,Meram,KON-MER-FDR-041,9,5,156.89,327,19816,88164.92,0,98.17
Sivas,Divriği,SIV-DIV-FDR-003,10,7,243.3,617,23298,62480.69,0,98.14
Eskişehir,Seyitgazi,ESK-SEY-FDR-004,10,8,165.1,460,21939,69250.58,0,97.96
Sivas,Suşehri,SIV-SUS-FDR-010,11,8,186.91,503,19221,78226.17,0,97.91
Konya,Karatay,KON-KAR-FDR-020,9,8,287.22,636,13955,94099.92,0,97.83
Sivas,Zara,SIV-ZAR-FDR-047,9,4,193.44,422,16793,100192.07,0,97.74
Sivas,Hafik,SIV-HAF-FDR-058,8,5,207.62,536,24489,65934.79,0,97.67
Kayseri,Develi,KAY-DEV-FDR-042,10,7,172.5,400,20663,75357.35,0,97.18
Eskişehir,Alpu,ESK-ALP-FDR-001,8,8,205.5,461,22684,62856.18,0,96.96
Sivas,Gürün,SIV-GÜR-FDR-045,6,6,230.67,421,15296,97758.63,0,96.89
Sivas,Zara,SIV-ZAR-FDR-015,4,4,310.25,416,15903,97164.54,0,96.7
Ankara,Pursaklar,ANK-PUR-FDR-011,10,7,103.0,415,30558,37680.38,0,96.05
Kayseri,Talas,KAY-TAL-FDR-001,8,7,239.88,468,15294,90854.43,0,95.71
Eskişehir,Tepebaşı,ESK-TEP-FDR-027,7,6,270.14,818,10326,111970.65,0,95.49
Kayseri,Bünyan,KAY-BÜN-FDR-049,8,6,214.0,510,22133,67617.93,0,95.49
Ankara,Gölbaşı,ANK-GÖL-FDR-039,7,5,234.71,453,19960,78378.44,0,95.4
Ankara,Etimesgut,ANK-ETI-FDR-047,6,6,166.33,268,23732,64778.6,0,95.34
Konya,Kulu,KON-KUL-FDR-006,7,5,125.71,223,21774,77478.39,0,95.31
Kayseri,Melikgazi,KAY-MEL-FDR-001,10,8,298.0,781,13540,89420.5,0,95.23
Konya,Kulu,KON-KUL-FDR-014,7,7,203.86,439,18399,80025.21,0,95.18
Kayseri,Develi,KAY-DEV-FDR-004,8,7,254.62,406,16034,85788.43,1,95.1
Sivas,Divriği,SIV-DIV-FDR-015,9,9,208.56,356,16460,80206.51,0,95.03
Kayseri,Melikgazi,KAY-MEL-FDR-042,9,5,213.78,670,14844,98294.74,0,95.0
Eskişehir,İnönü,ESK-INÖ-FDR-009,7,6,135.29,276,26389,54647.31,0,94.91
Kayseri,Tomarza,KAY-TOM-FDR-034,10,7,228.6,611,18346,76002.72,0,94.55
Kayseri,Yahyalı,KAY-YAH-FDR-047,5,4,319.0,764,15816,92188.02,0,94.55
Eskişehir,Mahmudiye,ESK-MAH-FDR-042,9,7,257.11,614,13794,92460.51,0,94.28
Konya,Karatay,KON-KAR-FDR-051,7,6,165.0,463,25824,53840.67,0,94.27
Konya,Ilgın,KON-ILG-FDR-027,6,6,286.67,475,14834,90185.13,0,93.86
Konya,Cihanbeyli,KON-CIH-FDR-059,7,5,106.71,460,28839,47244.26,0,93.75
Konya,Akşehir,KON-AKS-FDR-003,8,6,226.75,634,23547,57524.45,0,93.66
Sivas,Zara,SIV-ZAR-FDR-059,9,8,214.0,632,23113,53477.3,0,93.63
Ankara,Etimesgut,ANK-ETI-FDR-038,8,4,247.25,583,10451,114253.22,0,93.45
Kayseri,Kocasinan,KAY-KOC-FDR-009,8,7,219.25,333,22031,60373.2,0,93.33
Kayseri,Pınarbaşı,KAY-PIN-FDR-046,5,4,247.4,597,14705,98416.13,0,93.29
Kayseri,Melikgazi,KAY-MEL-FDR-037,6,4,121.67,325,17099,95561.39,0,93.13
Eskişehir,Çifteler,ESK-ÇIF-FDR-012,9,8,179.11,546,24082,50652.22,0,93.11
Sivas,Şarkışla,SIV-SAR-FDR-057,8,7,162.62,496,30486,29185.12,0,92.94
Sivas,Zara,SIV-ZAR-FDR-011,8,5,125.88,289,20674,76326.31,0,92.79
Sivas,Merkez,SIV-MER-FDR-014,5,4,191.6,367,18864,83532.93,0,92.49
Kayseri,Tomarza,KAY-TOM-FDR-058,2,2,292.5,312,13930,104680.53,0,92.48
Konya,Kulu,KON-KUL-FDR-002,6,6,146.0,236,25572,52684.15,0,92.37
Ankara,Polatlı,ANK-POL-FDR-010,9,6,173.78,316,19220,74855.19,0,92.33
Kayseri,Tomarza,KAY-TOM-FDR-015,5,4,273.4,429,18627,78872.73,0,92.14
Ankara,Etimesgut,ANK-ETI-FDR-058,6,5,179.17,469,17855,84064.08,0,92.12
Kayseri,Pınarbaşı,KAY-PIN-FDR-059,8,7,297.75,871,19255,64220.17,0,92.05
Ankara,Mamak,ANK-MAM-FDR-027,6,5,214.0,480,16266,87811.9,0,91.86
Sivas,Şarkışla,SIV-SAR-FDR-021,5,4,237.8,557,22199,66119.9,0,91.84
Sivas,Gürün,SIV-GÜR-FDR-020,9,8,224.33,378,23332,48246.32,0,91.77
Sivas,Suşehri,SIV-SUS-FDR-014,6,6,281.33,395,15923,81777.69,0,91.67
Sivas,Merkez,SIV-MER-FDR-048,5,5,451.4,763,18753,63301.94,0,91.45
Ankara,Mamak,ANK-MAM-FDR-006,7,5,130.86,344,24289,58882.76,0,91.2
Eskişehir,Seyitgazi,ESK-SEY-FDR-009,10,8,200.5,487,23678,46561.6,0,91.15
Eskişehir,Sivrihisar,ESK-SIV-FDR-003,7,5,195.29,324,15953,88062.51,0,91.05
Sivas,Yıldızeli,SIV-YIL-FDR-016,6,3,143.83,481,14902,101634.67,0,90.94
Eskişehir,Çifteler,ESK-ÇIF-FDR-044,8,6,229.38,567,20544,63941.39,0,90.94
Ankara,Etimesgut,ANK-ETI-FDR-052,9,8,157.67,320,23910,47989.45,0,90.79
Konya,Meram,KON-MER-FDR-002,5,5,296.2,625,18320,72718.79,0,90.64
Sivas,Kangal,SIV-KAN-FDR-039,11,8,207.0,480,17873,67170.05,0,90.29
Kayseri,İncesu,KAY-INC-FDR-017,9,8,226.0,366,13771,83379.41,0,90.26
Kayseri,Talas,KAY-TAL-FDR-036,9,8,152.78,370,22417,52912.51,0,90.12
Konya,Akşehir,KON-AKS-FDR-028,8,8,129.12,265,26988,36542.11,0,90.12
Sivas,Gemerek,SIV-GEM-FDR-010,5,5,147.4,320,27240,44753.34,0,90.03
Eskişehir,Beylikova,ESK-BEY-FDR-029,3,2,216.0,550,12423,109681.7,0,89.92
Konya,Selçuklu,KON-SEL-FDR-020,8,7,214.75,663,19759,62452.59,0,89.69
Eskişehir,Seyitgazi,ESK-SEY-FDR-005,4,4,184.0,300,18032,82028.13,0,89.6
Kayseri,Kocasinan,KAY-KOC-FDR-021,8,6,194.5,472,14315,87871.49,0,89.4
Konya,Cihanbeyli,KON-CIH-FDR-055,11,7,185.55,546,16176,76252.62,0,89.29
Sivas,Şarkışla,SIV-SAR-FDR-027,5,4,135.8,334,17533,85787.87,0,89.28
Ankara,Polatlı,ANK-POL-FDR-002,5,5,304.8,508,18161,70065.9,0,89.25
Konya,Cihanbeyli,KON-CIH-FDR-009,4,4,193.0,336,14064,96517.13,0,89.18
Kayseri,Yahyalı,KAY-YAH-FDR-028,10,5,147.8,434,23137,56864.83,0,89.14
Konya,Beyşehir,KON-BEY-FDR-055,5,3,241.2,451,11713,104530.59,0,88.68
Kayseri,Talas,KAY-TAL-FDR-009,7,6,341.43,617,15027,75248.82,0,88.67
Sivas,Gemerek,SIV-GEM-FDR-051,5,5,343.6,681,10718,95841.27,0,88.41
Sivas,Divriği,SIV-DIV-FDR-002,5,5,175.8,285,17012,80724.94,0,88.41
Sivas,Gemerek,SIV-GEM-FDR-028,5,5,175.0,407,22684,57944.54,0,88.34
Kayseri,Talas,KAY-TAL-FDR-054,8,7,183.0,480,20175,59987.29,0,88.33
Eskişehir,Sivrihisar,ESK-SIV-FDR-030,8,5,199.5,365,12998,93631.79,0,88.3
Kayseri,Talas,KAY-TAL-FDR-028,7,5,266.71,410,17598,71532.54,0,88.21
Sivas,Kangal,SIV-KAN-FDR-059,5,5,264.6,398,15913,79323.52,0,88.18
Sivas,Hafik,SIV-HAF-FDR-043,5,4,351.2,585,9014,104360.69,0,87.99
Eskişehir,Odunpazarı,ESK-ODU-FDR-023,8,6,145.75,334,25638,42550.55,0,87.92
Sivas,Suşehri,SIV-SUS-FDR-012,10,7,122.3,330,29718,23523.15,0,87.87
Konya,Ilgın,KON-ILG-FDR-048,7,5,159.14,497,29055,31254.56,0,87.76
Eskişehir,İnönü,ESK-INÖ-FDR-058,6,5,179.67,286,21898,58961.41,0,87.67
Sivas,Şarkışla,SIV-SAR-FDR-018,5,4,171.8,388,14146,93780.67,0,87.59
Ankara,Altındağ,ANK-ALT-FDR-028,7,6,231.86,578,15667,76982.84,0,87.53
Ankara,Etimesgut,ANK-ETI-FDR-009,9,5,168.78,380,16572,79136.9,0,87.53
Ankara,Keçiören,ANK-KEÇ-FDR-023,7,7,280.86,459,15864,70090.4,0,87.45
Eskişehir,Alpu,ESK-ALP-FDR-009,13,10,210.92,406,16392,60161.66,0,87.44
Sivas,Gemerek,SIV-GEM-FDR-047,3,3,409.0,509,8709,104061.49,0,86.97
Sivas,Divriği,SIV-DIV-FDR-050,7,6,336.86,650,13198,79296.14,0,86.9
Ankara,Gölbaşı,ANK-GÖL-FDR-044,10,5,139.7,482,14907,84822.19,0,86.42
Eskişehir,Çifteler,ESK-ÇIF-FDR-008,7,5,210.86,447,20221,60512.68,0,86.27
Ankara,Gölbaşı,ANK-GÖL-FDR-046,8,8,202.75,598,22339,42894.21,0,86.21
Eskişehir,Alpu,ESK-ALP-FDR-006,5,5,294.4,421,15981,73267.14,0,86.18
Kayseri,Tomarza,KAY-TOM-FDR-044,4,4,243.75,347,16609,77165.22,0,86.11
Kayseri,Yeşilhisar,KAY-YES-FDR-023,6,4,130.17,450,22952,57299.33,0,85.96
Ankara,Yenimahalle,ANK-YEN-FDR-052,6,6,334.0,478,19678,51439.39,0,85.6
Ankara,Polatlı,ANK-POL-FDR-026,4,3,191.5,319,15082,87810.56,0,85.31
Ankara,Yenimahalle,ANK-YEN-FDR-048,8,8,253.62,431,15256,65820.33,0,85.03
Ankara,Keçiören,ANK-KEÇ-FDR-016,7,5,201.43,450,16923,71732.61,0,85.01
Eskişehir,Odunpazarı,ESK-ODU-FDR-005,7,5,164.57,400,18146,68539.41,0,84.75
Eskişehir,Alpu,ESK-ALP-FDR-011,12,6,185.17,561,20603,51986.55,0,84.75
Eskişehir,Alpu,ESK-ALP-FDR-022,8,6,182.25,437,12893,84906.01,0,84.71
Ankara,Yenimahalle,ANK-YEN-FDR-050,4,4,218.0,385,13339,88915.25,0,84.68
Sivas,Merkez,SIV-MER-FDR-053,7,5,204.71,633,20319,56885.78,0,84.47
Konya,Akşehir,KON-AKS-FDR-056,7,6,217.71,396,11888,86789.08,0,84.45
Ankara,Çankaya,ANK-ÇAN-FDR-039,6,4,168.83,277,15372,82200.73,0,84.41
Konya,Seydişehir,KON-SEY-FDR-003,6,6,135.83,244,23352,46179.51,0,84.37
Ankara,Yenimahalle,ANK-YEN-FDR-007,8,6,203.5,571,15106,74093.38,0,84.36
Eskişehir,Alpu,ESK-ALP-FDR-050,7,6,244.14,446,16381,66947.18,0,84.31
Kayseri,İncesu,KAY-INC-FDR-021,5,3,260.2,611,11552,94400.21,0,83.86
Eskişehir,Sivrihisar,ESK-SIV-FDR-041,7,6,201.43,388,21457,48168.87,0,83.79
Sivas,Şarkışla,SIV-SAR-FDR-029,10,7,215.7,353,17717,57644.02,0,83.73
Ankara,Polatlı,ANK-POL-FDR-057,7,7,113.86,315,24512,38029.51,0,83.7
Eskişehir,Tepebaşı,ESK-TEP-FDR-055,11,7,157.55,613,22842,40072.81,0,83.7
Ankara,Etimesgut,ANK-ETI-FDR-036,10,8,137.8,402,19074,53594.16,0,83.58
Konya,Seydişehir,KON-SEY-FDR-007,8,7,306.25,702,14339,65181.46,0,82.96
Konya,Ereğli,KON-ERE-FDR-032,9,8,171.89,401,16669,60109.84,0,82.8
Sivas,Şarkışla,SIV-SAR-FDR-054,6,2,148.0,461,16403,81907.54,0,82.7
Kayseri,Bünyan,KAY-BÜN-FDR-056,5,4,205.0,263,15960,74552.19,0,82.6
Eskişehir,Sivrihisar,ESK-SIV-FDR-010,8,6,222.12,777,15988,65834.9,0,82.56
Konya,Ereğli,KON-ERE-FDR-016,6,5,97.17,260,22112,52709.55,0,82.49
Sivas,Hafik,SIV-HAF-FDR-037,6,5,258.67,541,15552,68925.49,0,82.33
Ankara,Mamak,ANK-MAM-FDR-047,8,4,106.25,208,20059,61621.39,0,82.12
Sivas,Gürün,SIV-GÜR-FDR-019,4,3,211.25,337,11693,93626.98,0,82.04
Eskişehir,Mahmudiye,ESK-MAH-FDR-011,6,6,268.5,453,14141,70375.72,1,82.02
Konya,Ilgın,KON-ILG-FDR-015,8,6,101.5,329,21300,50594.11,0,81.94
Ankara,Gölbaşı,ANK-GÖL-FDR-040,7,6,256.43,625,12207,78121.12,0,81.92
Eskişehir,Alpu,ESK-ALP-FDR-059,8,8,293.5,706,11883,70663.29,0,81.9
Konya,Ereğli,KON-ERE-FDR-022,5,5,243.6,608,20783,48187.3,0,81.72
Ankara,Çankaya,ANK-ÇAN-FDR-048,3,3,294.67,401,10561,92968.04,0,81.7
Sivas,Şarkışla,SIV-SAR-FDR-001,4,3,272.0,530,14553,77781.11,0,81.66
Ankara,Keçiören,ANK-KEÇ-FDR-056,6,6,259.33,411,15414,65098.42,0,81.66
Eskişehir,Mihalıççık,ESK-MIH-FDR-035,6,6,104.33,222,25255,34987.15,0,81.63
Sivas,Yıldızeli,SIV-YIL-FDR-052,9,9,202.67,458,17074,51243.13,0,81.6
Ankara,Sincan,ANK-SIN-FDR-001,3,2,258.0,357,10894,96414.3,0,81.49
Eskişehir,Seyitgazi,ESK-SEY-FDR-013,4,3,208.25,270,16152,74677.3,0,81.39
Konya,Ilgın,KON-ILG-FDR-011,7,5,205.71,548,16879,64333.53,0,81.35
Kayseri,Tomarza,KAY-TOM-FDR-017,10,8,207.6,320,15069,60611.14,0,81.17
