date,city,district,temperature,wind_speed,precipitation_mm,storm_flag
2024-01-02,Konya,Meram,18.72,32.75,4.06,0
2024-01-02,Konya,Karatay,-12.18,19.49,6.34,0
2024-01-02,Konya,Ereğli,-1.11,4.65,0.33,0
2024-01-02,Konya,Akşehir,5.53,24.93,2.1,0
2024-01-02,Konya,Beyşehir,-0.34,15.46,1.15,0
2024-01-02,Konya,Cihanbeyli,14.36,21.24,4.32,0
2024-01-02,Konya,Ilgın,4.64,31.21,3.78,0
2024-01-02,Konya,Seydişehir,-8.64,14.13,1.76,0
2024-01-02,Konya,Kulu,0.34,32.98,0.41,0
2024-01-02,Kayseri,Melikgazi,-20.69,9.8,0.76,0
2024-01-02,Kayseri,Kocasinan,-11.96,7.6,3.83,0
2024-01-02,Kayseri,Talas,-1.08,19.05,1.88,0
2024-01-02,Kayseri,Develi,2.41,36.78,7.77,1
2024-01-02,Kayseri,Yahyalı,-4.87,21.7,0.29,0
2024-01-02,Kayseri,Bünyan,0.58,18.49,3.53,0
2024-01-02,Kayseri,İncesu,2.79,23.3,1.97,0
2024-01-02,Kayseri,Pınarbaşı,-2.31,34.89,3.16,0
2024-01-02,Kayseri,Yeşilhisar,0.94,22.71,13.0,0
2024-01-02,Kayseri,Tomarza,-1.41,19.66,1.54,0
2024-01-02,Eskişehir,Odunpazarı,-2.13,24.8,0.5,0
2024-01-02,Eskişehir,Tepebaşı,8.66,29.62,8.4,0
2024-01-02,Eskişehir,Sivrihisar,7.69,23.04,1.33,0
2024-01-02,Eskişehir,Çifteler,5.86,12.32,6.58,0
2024-01-02,Eskişehir,Alpu,1.85,18.94,1.86,0
2024-01-02,Eskişehir,Beylikova,-2.68,27.3,10.68,0
2024-01-02,Eskişehir,İnönü,0.48,26.79,5.56,0
2024-01-02,Eskişehir,Mihalıççık,-0.86,20.09,9.31,0
2024-01-02,Eskişehir,Seyitgazi,11.14,18.17,1.54,0
2024-01-02,Eskişehir,Mahmudiye,0.33,24.83,0.04,0
2024-01-02,Sivas,Merkez,4.27,16.96,12.03,0
2024-01-02,Sivas,Şarkışla,15.39,26.52,2.38,0
2024-01-02,Sivas,Suşehri,-5.04,8.29,4.47,0
2024-01-02,Sivas,Yıldızeli,7.39,23.34,6.24,0
2024-01-02,Sivas,Zara,1.91,10.82,0.24,0
2024-01-02,Sivas,Kangal,-12.63,32.16,8.75,0
2024-01-02,Sivas,Gemerek,-3.78,15.43,0.62,0
2024-01-02,Sivas,Divriği,6.3,28.86,0.43,0
2024-01-02,Sivas,Gürün,3.71,13.94,0.3,0
2024-01-02,Sivas,Hafik,5.91,24.98,0.34,0
2024-01-03,Ankara,Çankaya,-8.14,6.74,6.7,0
2024-01-03,Ankara,Keçiören,-2.65,28.88,0.35,0
2024-01-03,Ankara,Mamak,4.18,29.8,2.21,0
2024-01-03,Ankara,Yenimahalle,-0.12,17.96,2.53,0
2024-01-03,Ankara,Etimesgut,4.26,11.38,5.48,0
2024-01-03,Ankara,Sincan,5.45,18.71,1.88,0
2024-01-03,Ankara,Altındağ,6.83,14.79,1.01,0
2024-01-03,Ankara,Gölbaşı,2.49,25.87,19.83,1
2024-01-03,Ankara,Pursaklar,2.68,11.82,13.93,0
2024-01-03,Ankara,Polatlı,17.93,21.25,4.76,0
2024-01-03,Konya,Selçuklu,17.07,11.86,3.51,0
2024-01-03,Konya,Meram,1.22,25.81,3.87,0
2024-01-03,Konya,Karatay,-3.88,13.2,2.49,0
2024-01-03,Konya,Ereğli,9.23,3.52,0.32,0
2024-01-03,Konya,Akşehir,4.39,33.01,1.48,0
2024-01-03,Konya,Beyşehir,6.0,25.76,0.71,0
2024-01-03,Konya,Cihanbeyli,-7.24,32.65,10.8,0
2024-01-03,Konya,Ilgın,1.48,15.74,6.65,0
2024-01-03,Konya,Seydişehir,-9.99,28.83,14.01,0
2024-01-03,Konya,Kulu,3.93,20.23,2.53,0
2024-01-03,Kayseri,Melikgazi,-9.16,13.2,0.23,0
2024-01-03,Kayseri,Kocasinan,3.82,20.42,32.69,1
2024-01-03,Kayseri,Talas,2.04,18.38,5.86,0
2024-01-03,Kayseri,Develi,-0.19,5.21,0.55,0
2024-01-03,Kayseri,Yahyalı,2.84,22.12,1.04,0
2024-01-03,Kayseri,Bünyan,9.42,30.33,1.77,0
2024-01-03,Kayseri,İncesu,4.33,12.01,2.94,0
2024-01-03,Kayseri,Pınarbaşı,2.8,30.41,7.65,0
2024-01-03,Kayseri,Yeşilhisar,16.43,32.04,8.37,0
2024-01-03,Kayseri,Tomarza,-5.14,15.85,0.12,0
2024-01-03,Eskişehir,Odunpazarı,6.52,28.95,4.87,0
2024-01-03,Eskişehir,Tepebaşı,-1.04,15.26,0.06,0
2024-01-03,Eskişehir,Sivrihisar,9.41,3.93,1.99,0
2024-01-03,Eskişehir,Çifteler,8.2,16.9,1.71,0
2024-01-03,Eskişehir,Alpu,12.52,18.59,2.02,0
2024-01-03,Eskişehir,Beylikova,8.87,20.65,11.94,0
2024-01-03,Eskişehir,İnönü,-9.92,17.56,2.46,0
2024-01-03,Eskişehir,Mihalıççık,1.96,21.22,1.59,0
2024-01-03,Eskişehir,Seyitgazi,-7.13,23.36,0.32,0
2024-01-03,Eskişehir,Mahmudiye,-5.71,21.9,1.7,0
2024-01-03,Sivas,Merkez,1.56,25.64,4.41,0
2024-01-03,Sivas,Şarkışla,-1.13,14.19,0.17,0
2024-01-03,Sivas,Suşehri,-1.71,11.66,0.78,0
2024-01-03,Sivas,Yıldızeli,-8.04,16.47,1.81,0
2024-01-03,Sivas,Zara,15.75,18.28,0.16,0
2024-01-03,Sivas,Kangal,5.6,27.64,0.34,0
2024-01-03,Sivas,Gemerek,1.21,16.23,6.56,0
2024-01-03,Sivas,Divriği,-3.15,22.64,0.94,0
2024-01-03,Sivas,Gürün,0.07,0.0,3.85,0
2024-01-03,Sivas,Hafik,-2.39,0.46,5.5,0
2024-01-04,Ankara,Çankaya,6.04,20.49,2.87,0
2024-01-04,Ankara,Keçiören,-4.81,18.64,2.37,0
2024-01-04,Ankara,Mamak,-9.25,19.63,1.25,0
2024-01-04,Ankara,Yenimahalle,0.69,17.62,1.55,0
2024-01-04,Ankara,Etimesgut,-2.53,9.35,0.51,0
2024-01-04,Ankara,Sincan,3.53,25.28,4.55,0
2024-01-04,Ankara,Altındağ,1.94,29.84,0.36,0
2024-01-04,Ankara,Gölbaşı,18.62,26.12,5.47,0
2024-01-04,Ankara,Pursaklar,-5.26,16.48,1.34,0
2024-01-04,Ankara,Polatlı,11.77,7.52,3.38,0
2024-01-04,Konya,Selçuklu,-7.79,22.5,0.43,0
2024-01-04,Konya,Meram,-1.21,12.99,0.7,0
2024-01-04,Konya,Karatay,-2.15,11.09,0.76,0
2024-01-04,Konya,Ereğli,-15.52,23.48,16.15,0
2024-01-04,Konya,Akşehir,0.33,10.74,13.96,0
2024-01-04,Konya,Beyşehir,3.66,20.19,1.19,0
2024-01-04,Konya,Cihanbeyli,5.51,10.18,10.6,0
2024-01-04,Konya,Ilgın,16.3,30.96,1.31,0
2024-01-04,Konya,Seydişehir,-2.64,22.56,1.56,0
2024-01-04,Konya,Kulu,3.96,0.0,1.11,0
2024-01-04,Kayseri,Melikgazi,3.82,10.77,1.36,0
2024-01-04,Kayseri,Kocasinan,-5.97,20.14,2.62,0
2024-01-04,Kayseri,Talas,-2.56,18.38,1.64,0
2024-01-04,Kayseri,Develi,-2.21,24.08,4.58,0
2024-01-04,Kayseri,Yahyalı,5.71,29.53,2.55,0
2024-01-04,Kayseri,Bünyan,-10.39,9.74,10.61,0
2024-01-04,Kayseri,İncesu,4.6,13.17,11.14,0
2024-01-04,Kayseri,Pınarbaşı,5.42,30.64,7.38,0
2024-01-04,Kayseri,Yeşilhisar,4.36,14.7,0.9,0
2024-01-04,Kayseri,Tomarza,-0.23,15.45,6.74,0
2024-01-04,Eskişehir,Odunpazarı,4.03,34.6,1.78,0
2024-01-04,Eskişehir,Tepebaşı,0.11,25.58,6.78,0
2024-01-04,Eskişehir,Sivrihisar,-12.27,9.94,2.48,0
2024-01-04,Eskişehir,Çifteler,9.36,11.25,2.79,0
2024-01-04,Eskişehir,Alpu,4.29,16.25,1.94,0
2024-01-04,Eskişehir,Beylikova,8.25,18.76,3.92,0
2024-01-04,Eskişehir,İnönü,-8.35,27.15,0.6,0
2024-01-04,Eskişehir,Mihalıççık,5.57,27.98,3.05,0
2024-01-04,Eskişehir,Seyitgazi,3.27,19.99,0.66,0
2024-01-04,Eskişehir,Mahmudiye,-5.64,11.46,5.45,0
2024-01-04,Sivas,Merkez,2.5,14.18,5.75,0
2024-01-04,Sivas,Şarkışla,-0.43,24.63,6.89,0
2024-01-04,Sivas,Suşehri,0.11,10.17,6.38,0
2024-01-04,Sivas,Yıldızeli,-0.99,13.58,5.12,0
2024-01-04,Sivas,Zara,8.09,28.85,4.74,0
2024-01-04,Sivas,Kangal,-9.43,20.25,1.7,0
2024-01-04,Sivas,Gemerek,-10.45,29.97,2.48,0
2024-01-04,Sivas,Divriği,3.26,39.15,3.78,1
2024-01-04,Sivas,Gürün,2.77,23.81,4.77,0
2024-01-04,Sivas,Hafik,3.52,21.54,0.66,0
2024-01-05,Ankara,Çankaya,15.17,28.76,2.21,0
2024-01-05,Ankara,Keçiören,3.29,18.8,10.39,0
2024-01-05,Ankara,Mamak,-4.93,16.99,16.76,0
2024-01-05,Ankara,Yenimahalle,19.77,22.19,2.04,0
2024-01-05,Ankara,Etimesgut,0.89,14.58,6.5,0
2024-01-05,Ankara,Sincan,7.97,0.0,10.1,0
2024-01-05,Ankara,Altındağ,-7.03,7.64,5.35,0
2024-01-05,Ankara,Gölbaşı,-8.52,15.91,2.41,0
2024-01-05,Ankara,Pursaklar,0.28,15.82,2.76,0
2024-01-05,Ankara,Polatlı,7.63,16.74,1.8,0
2024-01-05,Konya,Selçuklu,14.94,27.01,0.05,0
2024-01-05,Konya,Meram,-5.12,22.13,12.98,0
2024-01-05,Konya,Karatay,0.12,9.15,0.36,0
2024-01-05,Konya,Ereğli,2.0,19.27,3.62,0
2024-01-05,Konya,Akşehir,2.1,17.81,0.94,0
2024-01-05,Konya,Beyşehir,1.2,19.24,0.85,0
2024-01-05,Konya,Cihanbeyli,1.77,13.65,3.33,0
2024-01-05,Konya,Ilgın,11.72,0.0,2.32,0
2024-01-05,Konya,Seydişehir,10.72,1.41,0.67,0
2024-01-05,Konya,Kulu,4.03,15.96,11.68,0
2024-01-05,Kayseri,Melikgazi,-7.85,11.78,4.13,0
2024-01-05,Kayseri,Kocasinan,-0.53,17.44,0.68,0
2024-01-05,Kayseri,Talas,8.55,28.17,0.11,0
2024-01-05,Kayseri,Develi,-2.93,12.17,4.46,0
2024-01-05,Kayseri,Yahyalı,-1.67,21.91,4.23,0
2024-01-05,Kayseri,Bünyan,-0.45,16.17,1.11,0
2024-01-05,Kayseri,İncesu,6.98,21.55,7.09,0
2024-01-05,Kayseri,Pınarbaşı,13.52,9.94,0.92,0
2024-01-05,Kayseri,Yeşilhisar,6.15,15.52,0.05,0
2024-01-05,Kayseri,Tomarza,-9.69,32.12,8.93,0
2024-01-05,Eskişehir,Odunpazarı,-1.66,26.39,1.2,0
2024-01-05,Eskişehir,Tepebaşı,11.21,3.98,1.25,0
2024-01-05,Eskişehir,Sivrihisar,-6.96,32.04,3.21,0
2024-01-05,Eskişehir,Çifteler,-10.27,13.64,11.86,0
2024-01-05,Eskişehir,Alpu,-1.81,21.19,8.11,0
2024-01-05,Eskişehir,Beylikova,8.8,17.75,6.43,0
2024-01-05,Eskişehir,İnönü,-0.55,17.54,1.25,0
2024-01-05,Eskişehir,Mihalıççık,17.09,23.38,1.19,0
2024-01-05,Eskişehir,Seyitgazi,3.2,16.53,16.64,0
2024-01-05,Eskişehir,Mahmudiye,-7.02,18.81,1.27,0
2024-01-05,Sivas,Merkez,3.37,10.17,1.28,0
2024-01-05,Sivas,Şarkışla,16.04,23.74,7.08,0
2024-01-05,Sivas,Suşehri,3.79,25.86,3.67,0
2024-01-05,Sivas,Yıldızeli,-5.03,22.08,9.83,0
2024-01-05,Sivas,Zara,-10.89,7.76,2.93,0
2024-01-05,Sivas,Kangal,-0.44,19.59,3.7,0
2024-01-05,Sivas,Gemerek,-2.28,6.75,1.36,0
2024-01-05,Sivas,Divriği,11.39,10.93,1.41,0
2024-01-05,Sivas,Gürün,-4.65,39.06,4.36,1
2024-01-05,Sivas,Hafik,2.67,19.43,0.97,0
2024-01-06,Ankara,Çankaya,-2.03,18.98,2.74,0
2024-01-06,Ankara,Keçiören,-9.83,25.9,5.89,0
2024-01-06,Ankara,Mamak,1.76,32.17,4.66,0
2024-01-06,Ankara,Yenimahalle,-8.91,14.8,6.84,0
2024-01-06,Ankara,Etimesgut,6.43,25.78,1.27,0
2024-01-06,Ankara,Sincan,-10.34,27.15,0.38,0
2024-01-06,Ankara,Altındağ,1.48,22.97,0.82,0
2024-01-06,Ankara,Gölbaşı,9.45,18.96,5.27,0
2024-01-06,Ankara,Pursaklar,5.92,26.65,4.71,0
2024-01-06,Ankara,Polatlı,-1.18,23.06,2.69,0
2024-01-06,Konya,Selçuklu,5.01,19.66,0.8,0
2024-01-06,Konya,Meram,7.73,19.07,0.14,0
2024-01-06,Konya,Karatay,-5.57,26.43,10.33,0
2024-01-06,Konya,Ereğli,9.9,17.36,7.45,0
2024-01-06,Konya,Akşehir,8.57,13.87,0.15,0
2024-01-06,Konya,Beyşehir,-7.84,22.01,0.51,0
2024-01-06,Konya,Cihanbeyli,3.55,14.17,1.66,0
2024-01-06,Konya,Ilgın,0.17,19.08,1.52,0
2024-01-06,Konya,Seydişehir,12.13,19.57,1.54,0
2024-01-06,Konya,Kulu,8.07,20.26,3.83,0
2024-01-06,Kayseri,Melikgazi,2.58,26.52,11.19,0
2024-01-06,Kayseri,Kocasinan,10.56,12.53,2.06,0
2024-01-06,Kayseri,Talas,18.09,15.1,8.28,0
2024-01-06,Kayseri,Develi,-9.77,3.93,5.35,0
2024-01-06,Kayseri,Yahyalı,-0.94,15.75,1.75,0
2024-01-06,Kayseri,Bünyan,-5.04,9.59,1.06,0
2024-01-06,Kayseri,İncesu,1.76,19.87,1.94,0
2024-01-06,Kayseri,Pınarbaşı,-5.49,23.46,11.98,0
2024-01-06,Kayseri,Yeşilhisar,8.89,16.29,11.58,0
2024-01-06,Kayseri,Tomarza,18.17,12.69,0.73,0
2024-01-06,Eskişehir,Odunpazarı,3.17,21.94,3.74,0
2024-01-06,Eskişehir,Tepebaşı,-8.99,18.59,0.78,0
2024-01-06,Eskişehir,Sivrihisar,-2.36,13.56,6.05,0
2024-01-06,Eskişehir,Çifteler,-1.47,16.66,13.91,0
2024-01-06,Eskişehir,Alpu,11.94,13.43,4.76,0
2024-01-06,Eskişehir,Beylikova,4.41,14.99,1.02,0
2024-01-06,Eskişehir,İnönü,3.42,5.87,3.6,0
2024-01-06,Eskişehir,Mihalıççık,-3.88,19.32,8.4,0
2024-01-06,Eskişehir,Seyitgazi,-2.29,14.9,8.78,0
2024-01-06,Eskişehir,Mahmudiye,5.8,26.67,3.2,0
2024-01-06,Sivas,Merkez,0.76,11.61,1.87,0
2024-01-06,Sivas,Şarkışla,8.19,10.39,2.74,0
2024-01-06,Sivas,Suşehri,-1.62,19.79,7.62,0
2024-01-06,Sivas,Yıldızeli,-22.37,11.04,3.59,0
2024-01-06,Sivas,Zara,-1.43,26.35,4.53,0
2024-01-06,Sivas,Kangal,-9.48,21.7,8.44,0
2024-01-06,Sivas,Gemerek,6.13,26.87,7.6,0
2024-01-06,Sivas,Divriği,4.84,23.72,7.26,0
2024-01-06,Sivas,Gürün,9.47,27.35,3.86,0
2024-01-06,Sivas,Hafik,-2.54,21.84,8.51,0
2024-01-07,Ankara,Çankaya,0.83,19.17,1.63,0
2024-01-07,Ankara,Keçiören,-2.83,21.96,6.81,0
2024-01-07,Ankara,Mamak,2.2,28.23,0.03,0
2024-01-07,Ankara,Yenimahalle,7.72,6.08,15.89,0
2024-01-07,Ankara,Etimesgut,-7.52,23.97,4.02,0
2024-01-07,Ankara,Sincan,12.47,19.71,0.45,0
2024-01-07,Ankara,Altındağ,3.75,30.62,13.19,0
2024-01-07,Ankara,Gölbaşı,10.46,6.47,10.75,0
2024-01-07,Ankara,Pursaklar,-1.13,19.55,1.43,0
2024-01-07,Ankara,Polatlı,-0.54,19.4,3.49,0
2024-01-07,Konya,Selçuklu,10.37,5.81,0.19,0
2024-01-07,Konya,Meram,4.57,13.79,0.1,0
2024-01-07,Konya,Karatay,12.96,17.47,4.6,0
2024-01-07,Konya,Ereğli,-9.91,14.75,23.41,1
2024-01-07,Konya,Akşehir,-8.14,0.41,0.71,0
2024-01-07,Konya,Beyşehir,6.54,25.9,1.0,0
2024-01-07,Konya,Cihanbeyli,3.71,13.49,4.25,0
2024-01-07,Konya,Ilgın,0.44,8.82,11.5,0
2024-01-07,Konya,Seydişehir,14.93,9.44,2.03,0
2024-01-07,Konya,Kulu,8.29,16.35,1.05,0
2024-01-07,Kayseri,Melikgazi,-6.76,29.55,7.99,0
2024-01-07,Kayseri,Kocasinan,5.54,17.77,0.82,0
2024-01-07,Kayseri,Talas,4.4,21.65,5.89,0
2024-01-07,Kayseri,Develi,5.22,22.86,3.94,0
2024-01-07,Kayseri,Yahyalı,3.38,23.67,6.37,0
2024-01-07,Kayseri,Bünyan,-5.22,17.6,0.53,0
2024-01-07,Kayseri,İncesu,-2.73,32.41,0.9,0
2024-01-07,Kayseri,Pınarbaşı,-3.19,17.89,3.49,0
2024-01-07,Kayseri,Yeşilhisar,7.88,12.78,1.49,0
2024-01-07,Kayseri,Tomarza,0.06,17.8,0.3,0
2024-01-07,Eskişehir,Odunpazarı,-1.17,0.0,3.67,0
2024-01-07,Eskişehir,Tepebaşı,9.16,9.25,7.87,0
2024-01-07,Eskişehir,Sivrihisar,-4.77,17.62,1.11,0
2024-01-07,Eskişehir,Çifteler,18.81,17.82,4.85,0
2024-01-07,Eskişehir,Alpu,0.45,18.22,1.58,0
2024-01-07,Eskişehir,Beylikova,-4.13,18.3,1.73,0
2024-01-07,Eskişehir,İnönü,-5.01,15.75,3.35,0
2024-01-07,Eskişehir,Mihalıççık,8.92,22.99,0.89,0
2024-01-07,Eskişehir,Seyitgazi,11.8,25.4,0.13,0
2024-01-07,Eskişehir,Mahmudiye,14.68,20.86,8.19,0
2024-01-07,Sivas,Merkez,8.27,23.08,1.66,0
2024-01-07,Sivas,Şarkışla,2.8,25.6,6.8,0
2024-01-07,Sivas,Suşehri,16.53,12.49,2.99,0
2024-01-07,Sivas,Yıldızeli,-0.59,19.64,0.25,0
2024-01-07,Sivas,Zara,-2.56,14.13,8.22,0
2024-01-07,Sivas,Kangal,-5.22,13.77,6.24,0
2024-01-07,Sivas,Gemerek,1.83,35.14,3.24,1
2024-01-07,Sivas,Divriği,-4.53,24.03,22.43,1
2024-01-07,Sivas,Gürün,2.27,18.96,0.89,0
2024-01-07,Sivas,Hafik,-1.52,19.69,0.12,0
2024-01-08,Ankara,Çankaya,0.2,4.65,8.11,0
2024-01-08,Ankara,Keçiören,8.53,24.99,2.22,0
2024-01-08,Ankara,Mamak,-6.58,6.29,17.58,0
2024-01-08,Ankara,Yenimahalle,-8.93,34.01,5.17,0
2024-01-08,Ankara,Etimesgut,9.55,17.69,9.24,0
2024-01-08,Ankara,Sincan,-9.43,13.42,3.59,0
2024-01-08,Ankara,Altındağ,12.34,29.04,5.28,0
2024-01-08,Ankara,Gölbaşı,4.81,12.52,9.59,0
2024-01-08,Ankara,Pursaklar,-1.85,12.63,14.22,0
2024-01-08,Ankara,Polatlı,4.27,15.67,2.71,0
2024-01-08,Konya,Selçuklu,5.81,15.04,2.36,0
2024-01-08,Konya,Meram,-13.64,19.88,3.6,0
2024-01-08,Konya,Karatay,-0.54,9.04,13.95,0
2024-01-08,Konya,Ereğli,7.65,8.03,1.57,0
2024-01-08,Konya,Akşehir,-1.27,20.77,14.0,0
2024-01-08,Konya,Beyşehir,-8.89,15.82,0.31,0
2024-01-08,Konya,Cihanbeyli,2.54,7.74,1.64,0
2024-01-08,Konya,Ilgın,0.19,27.87,1.14,0
2024-01-08,Konya,Seydişehir,12.51,24.8,0.73,0
2024-01-08,Konya,Kulu,7.93,27.78,2.57,0
2024-01-08,Kayseri,Melikgazi,4.67,21.44,3.52,0
2024-01-08,Kayseri,Kocasinan,-0.12,21.04,0.47,0
2024-01-08,Kayseri,Talas,1.5,17.7,3.03,0
2024-01-08,Kayseri,Develi,1.08,9.72,10.86,0
2024-01-08,Kayseri,Yahyalı,2.55,2.01,0.17,0
2024-01-08,Kayseri,Bünyan,2.98,21.62,8.1,0
2024-01-08,Kayseri,İncesu,8.99,0.0,2.68,0
2024-01-08,Kayseri,Pınarbaşı,-4.1,21.23,0.12,0
2024-01-08,Kayseri,Yeşilhisar,9.76,9.68,0.9,0
2024-01-08,Kayseri,Tomarza,3.94,12.79,2.35,0
2024-01-08,Eskişehir,Odunpazarı,0.67,19.74,4.72,0
2024-01-08,Eskişehir,Tepebaşı,1.78,34.03,3.85,0
2024-01-08,Eskişehir,Sivrihisar,3.41,26.41,0.12,0
2024-01-08,Eskişehir,Çifteler,3.38,21.59,4.51,0
2024-01-08,Eskişehir,Alpu,6.47,8.86,2.0,0
2024-01-08,Eskişehir,Beylikova,-3.4,20.37,4.29,0
2024-01-08,Eskişehir,İnönü,1.55,20.63,8.18,0
2024-01-08,Eskişehir,Mihalıççık,4.38,29.48,5.36,0
2024-01-08,Eskişehir,Seyitgazi,0.29,25.71,1.58,0
2024-01-08,Eskişehir,Mahmudiye,9.33,22.56,5.75,0
2024-01-08,Sivas,Merkez,-0.08,29.01,6.81,0
2024-01-08,Sivas,Şarkışla,2.84,9.77,0.02,0
2024-01-08,Sivas,Suşehri,-5.67,6.48,2.02,0
2024-01-08,Sivas,Yıldızeli,-4.2,30.42,2.38,0
2024-01-08,Sivas,Zara,-2.47,7.42,1.03,0
2024-01-08,Sivas,Kangal,3.19,12.4,4.41,0
2024-01-08,Sivas,Gemerek,-2.82,36.02,1.91,1
2024-01-08,Sivas,Divriği,2.41,27.01,2.61,0
2024-01-08,Sivas,Gürün,-7.73,4.84,3.47,0
2024-01-08,Sivas,Hafik,18.3,23.8,5.79,0
2024-01-09,Ankara,Çankaya,6.16,24.83,12.45,0
2024-01-09,Ankara,Keçiören,0.23,21.14,10.47,0
2024-01-09,Ankara,Mamak,-3.28,15.75,2.66,0
2024-01-09,Ankara,Yenimahalle,-4.09,10.13,1.47,0
2024-01-09,Ankara,Etimesgut,3.26,29.14,1.49,0
2024-01-09,Ankara,Sincan,12.6,24.18,1.27,0
2024-01-09,Ankara,Altındağ,-4.88,16.2,0.8,0
2024-01-09,Ankara,Gölbaşı,-4.78,22.41,2.98,0
2024-01-09,Ankara,Pursaklar,-2.21,20.56,3.35,0
2024-01-09,Ankara,Polatlı,11.78,17.4,3.2,0
2024-01-09,Konya,Selçuklu,2.88,14.56,12.1,0
2024-01-09,Konya,Meram,10.44,21.07,8.62,0
2024-01-09,Konya,Karatay,-2.91,12.7,3.78,0
2024-01-09,Konya,Ereğli,10.05,15.59,9.21,0
2024-01-09,Konya,Akşehir,-6.71,12.46,6.07,0
2024-01-09,Konya,Beyşehir,7.62,13.52,2.2,0
2024-01-09,Konya,Cihanbeyli,-2.71,20.23,3.91,0
2024-01-09,Konya,Ilgın,17.56,8.1,0.74,0
2024-01-09,Konya,Seydişehir,6.44,21.31,0.98,0
2024-01-09,Konya,Kulu,10.57,30.99,3.16,0
2024-01-09,Kayseri,Melikgazi,-1.9,7.04,3.61,0
