outage_id,city,district,feeder,transformer,network_element_type,outage_type,source,started_at,ended_at,duration_min,affected_customer_count,energy_not_supplied_kwh,cause,is_planned,is_force_majeure,storm_flag,wind_speed,precipitation_mm,high_impact
63,Ankara,Gölbaşı,ANK-GÖL-FDR-032,ANK-GÖL-TR-0205,Ayırıcı,unplanned,OMS,2025-10-05 19:28:50,2025-10-05 21:25:50,117,701,2435.72,Kuş / hayvan teması,0,0,0,5.36,2.43,1
64,Konya,Karatay,KON-KAR-FDR-012,KON-KAR-TR-0412,Trafo,unplanned,Mobile,2024-01-09 14:43:32,2024-01-09 14:52:32,9,240,34.1,Trafo arızası,0,0,0,12.7,3.78,0
65,Sivas,Divriği,SIV-DIV-FDR-009,SIV-DIV-TR-0411,Ayırıcı,unplanned,SCADA,2024-03-19 00:16:37,2024-03-19 02:50:37,154,586,2451.84,Ağaç teması,0,0,0,11.63,2.1,1
66,Eskişehir,Seyitgazi,ESK-SEY-FDR-047,ESK-SEY-TR-0457,Hücre,unplanned,Manual,2025-05-07 21:43:30,2025-05-07 22:17:30,34,2690,1949.27,Bakım çalışması,0,0,0,7.33,1.37,1
67,Sivas,Gemerek,SIV-GEM-FDR-029,SIV-GEM-TR-0133,Kesici,planned,OMS,2025-11-23 16:51:51,2025-11-24 00:29:51,458,1813,17561.35,Bakım çalışması,1,0,0,14.61,0.33,1
68,Konya,Akşehir,KON-AKS-FDR-018,KON-AKS-TR-0226,Hücre,planned,OMS,2026-03-20 19:27:56,2026-03-21 00:35:56,308,770,2402.09,Bakım çalışması,1,0,0,19.2,1.52,1
69,Ankara,Etimesgut,ANK-ETI-FDR-058,ANK-ETI-TR-0277,Direk,unplanned,CRM,2024-12-30 06:33:15,2024-12-30 06:40:15,7,154,29.55,Bakım çalışması,0,0,0,5.62,1.93,0
70,Ankara,Mamak,ANK-MAM-FDR-046,ANK-MAM-TR-0110,Ayırıcı,unplanned,Mobile,2024-08-22 07:22:28,2024-08-22 07:50:28,28,112,90.28,Bakım çalışması,0,0,0,14.14,0.07,0
71,Ankara,Altındağ,ANK-ALT-FDR-027,ANK-ALT-TR-0032,Kablo,planned,Manual,2025-09-25 04:24:21,2025-09-25 13:10:21,526,994,7867.12,Trafo arızası,1,0,0,11.56,0.56,1
72,Konya,Cihanbeyli,KON-CIH-FDR-031,KON-CIH-TR-0004,Fider,unplanned,Manual,2025-08-28 00:44:52,2025-08-28 01:38:52,54,3295,1529.89,Ekipman arızası,0,0,0,14.36,1.1,1
73,Kayseri,Yahyalı,KAY-YAH-FDR-048,KAY-YAH-TR-0280,Dağıtım Merkezi,unplanned,Manual,2025-08-28 19:45:21,2025-08-28 20:11:21,26,7477,5308.39,Ağaç teması,0,0,0,9.09,1.35,1
74,Sivas,Yıldızeli,SIV-YIL-FDR-032,SIV-YIL-TR-0015,Ayırıcı,unplanned,CRM,2026-01-28 10:30:51,2026-01-28 11:30:51,60,366,451.99,Aşırı yüklenme,0,0,0,4.99,1.22,0
75,Eskişehir,Beylikova,ESK-BEY-FDR-040,ESK-BEY-TR-0274,Kesici,unplanned,Mobile,2025-09-20 02:01:04,2025-09-20 05:06:04,185,753,2281.39,Bakım çalışması,0,0,0,20.31,10.15,1
76,Ankara,Altındağ,ANK-ALT-FDR-009,ANK-ALT-TR-0444,Trafo,unplanned,OMS,2024-02-12 02:26:15,2024-02-12 04:08:15,102,571,1425.83,Ekipman arızası,0,0,0,24.67,6.22,0
77,Eskişehir,Sivrihisar,ESK-SIV-FDR-014,ESK-SIV-TR-0233,Direk,unplanned,Mobile,2024-03-19 02:44:49,2024-03-19 02:57:49,13,85,30.55,Bakım çalışması,0,0,0,13.55,2.97,0
78,Kayseri,Bünyan,KAY-BÜN-FDR-054,KAY-BÜN-TR-0042,Direk,planned,Mobile,2025-08-11 22:50:59,2025-08-12 00:40:59,110,74,56.72,Kuş / hayvan teması,1,0,0,16.88,2.03,0
79,Eskişehir,Odunpazarı,ESK-ODU-FDR-042,ESK-ODU-TR-0036,Fider,planned,CRM,2026-04-17 22:59:59,2026-04-18 04:08:59,309,2452,16713.94,Ağaç teması,1,0,0,17.88,1.65,1
80,Ankara,Çankaya,ANK-ÇAN-FDR-010,ANK-ÇAN-TR-0123,Ayırıcı,unplanned,SCADA,2025-01-19 03:23:23,2025-01-19 04:41:23,78,1112,2145.69,Aşırı yüklenme,0,0,0,22.82,1.52,1
81,Konya,Ilgın,KON-ILG-FDR-050,KON-ILG-TR-0189,Ayırıcı,planned,Mobile,2024-06-26 16:44:51,2024-06-26 18:11:51,87,369,306.42,Ekipman arızası,1,0,0,11.38,3.01,0
82,Konya,Kulu,KON-KUL-FDR-038,KON-KUL-TR-0014,Kesici,planned,CRM,2024-06-26 22:05:41,2024-06-27 03:59:41,354,522,3490.84,Trafo arızası,1,0,0,16.84,5.02,1
83,Kayseri,Tomarza,KAY-TOM-FDR-005,KAY-TOM-TR-0304,Dağıtım Merkezi,unplanned,OMS,2025-08-06 00:27:27,2025-08-06 01:42:27,75,3427,6255.82,Kablo arızası,0,0,0,16.08,0.47,1
84,Konya,Meram,KON-MER-FDR-023,KON-MER-TR-0273,Trafo,unplanned,Manual,2025-04-13 11:49:02,2025-04-13 12:03:02,14,122,26.08,Bakım çalışması,0,0,0,5.03,0.59,0
85,Eskişehir,Beylikova,ESK-BEY-FDR-053,ESK-BEY-TR-0251,Kablo,unplanned,SCADA,2024-04-17 02:53:36,2024-04-17 03:09:36,16,774,105.87,Bakım çalışması,0,0,0,3.51,8.42,0
86,Ankara,Altındağ,ANK-ALT-FDR-028,ANK-ALT-TR-0091,Hücre,unplanned,OMS,2025-07-16 15:20:55,2025-07-16 15:29:55,9,327,68.87,Üçüncü şahıs müdahalesi,0,0,0,5.68,5.18,0
87,Sivas,Zara,SIV-ZAR-FDR-053,SIV-ZAR-TR-0375,Hücre,planned,Mobile,2026-04-16 00:32:24,2026-04-16 05:53:24,321,1373,11790.49,Kablo arızası,1,0,0,2.72,0.58,1
88,Sivas,Zara,SIV-ZAR-FDR-057,SIV-ZAR-TR-0231,Ayırıcı,unplanned,SCADA,2025-05-15 16:23:08,2025-05-15 17:58:08,95,185,397.06,Trafo arızası,0,0,0,24.03,0.16,0
89,Konya,Ilgın,KON-ILG-FDR-055,KON-ILG-TR-0167,Kablo,unplanned,SCADA,2025-08-11 17:44:43,2025-08-11 19:36:43,112,1311,2134.06,Ekipman arızası,0,0,0,14.28,2.35,1
90,Konya,Ilgın,KON-ILG-FDR-018,KON-ILG-TR-0451,Kablo,planned,CRM,2024-11-25 12:24:04,2024-11-25 19:04:04,400,952,6284.45,Trafo arızası,1,0,0,5.1,0.76,1
91,Sivas,Zara,SIV-ZAR-FDR-047,SIV-ZAR-TR-0209,Ayırıcı,unplanned,SCADA,2024-01-16 18:27:39,2024-01-16 19:40:39,73,371,411.59,Kablo arızası,0,0,0,17.35,0.55,0
92,Eskişehir,Seyitgazi,ESK-SEY-FDR-032,ESK-SEY-TR-0230,Hücre,planned,OMS,2025-01-08 07:55:32,2025-01-08 09:48:32,113,2143,2928.39,Bilinmeyen,1,0,0,32.8,3.08,1
93,Ankara,Keçiören,ANK-KEÇ-FDR-020,ANK-KEÇ-TR-0340,Ayırıcı,planned,Mobile,2025-04-02 01:53:51,2025-04-02 03:44:51,111,340,755.7,Bakım çalışması,1,0,0,22.55,2.11,0
94,Sivas,Kangal,SIV-KAN-FDR-022,SIV-KAN-TR-0181,Kablo,planned,Mobile,2026-01-05 04:25:47,2026-01-05 06:45:47,140,1177,4399.29,Bilinmeyen,1,0,0,23.51,10.02,1
95,Eskişehir,Alpu,ESK-ALP-FDR-047,ESK-ALP-TR-0099,Direk,unplanned,OSOS,2025-04-21 07:44:01,2025-04-21 16:55:01,551,25,274.05,Hava muhalefeti,0,0,0,4.59,0.01,1
96,Kayseri,Kocasinan,KAY-KOC-FDR-048,KAY-KOC-TR-0248,Kesici,planned,OSOS,2026-04-12 10:27:23,2026-04-12 16:55:23,388,806,6110.44,Bakım çalışması,1,0,0,12.21,0.08,1
97,Kayseri,Tomarza,KAY-TOM-FDR-019,KAY-TOM-TR-0117,Direk,planned,SCADA,2026-03-25 23:52:48,2026-03-26 04:38:48,286,44,354.81,Ağaç teması,1,0,0,8.02,3.5,1
98,Kayseri,Talas,KAY-TAL-FDR-018,KAY-TAL-TR-0024,Fider,planned,OMS,2025-04-14 13:21:09,2025-04-14 23:43:09,622,1642,11006.42,Trafo arızası,1,0,0,20.62,0.28,1
99,Ankara,Pursaklar,ANK-PUR-FDR-007,ANK-PUR-TR-0447,Kesici,planned,OMS,2025-03-29 19:38:36,2025-03-29 21:57:36,139,2079,3068.74,Ekipman arızası,1,0,0,9.75,2.87,1
100,Ankara,Polatlı,ANK-POL-FDR-022,ANK-POL-TR-0095,Hücre,unplanned,Mobile,2025-03-17 16:56:18,2025-03-17 18:00:18,64,1322,1637.42,Bakım çalışması,0,0,0,8.47,2.34,1
101,Ankara,Etimesgut,ANK-ETI-FDR-032,ANK-ETI-TR-0038,Trafo,unplanned,SCADA,2026-01-12 03:02:06,2026-01-12 05:39:06,157,413,1502.48,Trafo arızası,0,0,0,22.41,2.28,1
102,Sivas,Merkez,SIV-MER-FDR-006,SIV-MER-TR-0128,Kesici,unplanned,Manual,2024-08-23 16:47:34,2024-08-23 17:25:34,38,1654,1517.44,Aşırı yüklenme,0,0,0,6.05,0.18,1
103,Ankara,Pursaklar,ANK-PUR-FDR-029,ANK-PUR-TR-0466,Ayırıcı,planned,Manual,2025-10-08 12:05:31,2025-10-08 17:58:31,353,557,3469.39,Trafo arızası,1,0,0,10.09,3.8,1
104,Eskişehir,Alpu,ESK-ALP-FDR-004,ESK-ALP-TR-0313,Direk,unplanned,Manual,2025-10-28 03:56:06,2025-10-28 04:03:06,7,181,20.65,Ağaç teması,0,0,0,13.9,3.26,0
105,Ankara,Yenimahalle,ANK-YEN-FDR-011,ANK-YEN-TR-0123,Direk,unplanned,OMS,2024-11-23 19:35:22,2024-11-23 23:56:22,261,19,46.79,Ekipman arızası,0,0,0,12.53,0.85,1
106,Konya,Seydişehir,KON-SEY-FDR-029,KON-SEY-TR-0353,Kesici,planned,SCADA,2024-04-26 14:37:16,2024-04-27 02:05:16,688,1660,20358.6,Hava muhalefeti,1,0,0,18.25,1.62,1
107,Sivas,Divriği,SIV-DIV-FDR-046,SIV-DIV-TR-0145,Fider,unplanned,OSOS,2025-03-28 10:56:00,2025-03-28 17:31:00,395,3492,26181.74,Kablo arızası,0,0,0,18.63,2.34,1
108,Eskişehir,Tepebaşı,ESK-TEP-FDR-043,ESK-TEP-TR-0412,Direk,unplanned,OMS,2024-12-28 14:40:12,2024-12-28 15:11:12,31,195,125.47,Trafo arızası,0,0,0,21.65,3.45,0
109,Konya,Cihanbeyli,KON-CIH-FDR-059,KON-CIH-TR-0137,Ayırıcı,unplanned,OMS,2024-06-27 07:10:14,2024-06-27 07:15:14,5,234,21.67,Bilinmeyen,0,0,0,10.14,3.74,0
110,Konya,Meram,KON-MER-FDR-059,KON-MER-TR-0148,Kesici,unplanned,CRM,2024-04-02 15:28:02,2024-04-02 17:21:02,113,3604,4266.25,Ekipman arızası,0,0,0,4.86,4.2,1
111,Eskişehir,Tepebaşı,ESK-TEP-FDR-018,ESK-TEP-TR-0257,Direk,unplanned,OMS,2025-12-29 02:19:36,2025-12-29 02:44:36,25,189,92.68,Hava muhalefeti,0,0,0,14.09,2.78,0
112,Sivas,Divriği,SIV-DIV-FDR-057,SIV-DIV-TR-0222,Trafo,unplanned,Manual,2025-11-11 00:50:00,2025-11-11 01:06:00,16,123,23.87,Bilinmeyen,0,0,0,13.66,4.86,0
113,Kayseri,Tomarza,KAY-TOM-FDR-044,KAY-TOM-TR-0429,Fider,unplanned,SCADA,2025-01-23 22:23:31,2025-01-23 22:28:31,5,3219,297.52,Aşırı yüklenme,0,0,0,20.85,1.53,1
114,Sivas,Hafik,SIV-HAF-FDR-049,SIV-HAF-TR-0388,Direk,unplanned,Manual,2024-02-02 05:26:47,2024-02-02 09:09:47,223,15,25.61,Bakım çalışması,0,0,0,19.0,1.89,1
115,Konya,Ilgın,KON-ILG-FDR-038,KON-ILG-TR-0224,Hücre,unplanned,CRM,2026-03-17 04:22:27,2026-03-17 04:48:27,26,726,142.6,Ağaç teması,0,0,0,16.65,7.5,0
116,Eskişehir,Tepebaşı,ESK-TEP-FDR-021,ESK-TEP-TR-0344,Kablo,unplanned,Mobile,2025-12-31 03:15:27,2025-12-31 03:21:27,6,932,158.54,Bakım çalışması,0,0,0,27.11,1.88,0
117,Ankara,Mamak,ANK-MAM-FDR-019,ANK-MAM-TR-0340,Dağıtım Merkezi,planned,OMS,2025-05-27 07:58:18,2025-05-27 11:20:18,202,4178,21944.49,Bakım çalışması,1,0,0,17.09,6.49,1
118,Eskişehir,Seyitgazi,ESK-SEY-FDR-017,ESK-SEY-TR-0166,Hücre,unplanned,SCADA,2024-02-27 00:10:05,2024-02-27 00:39:05,29,818,662.28,Ağaç teması,0,0,0,13.65,1.15,0
